name,url,phone,address,placeId
Yasmine Palace Restaurant,https://www.google.com/maps/search/?api=1&query=Yasmine%20Palace%20Restaurant&query_place_id=ChIJr4DtWGzDRT4Rq9eA1zcHnK8,+974 7711 1504,"Parcel 18 Fountain Roundabout Pearl Qatar، Marina Way 31, Doha, Qatar",ChIJr4DtWGzDRT4Rq9eA1zcHnK8
La Mar Doha by Gastón Acurio,https://www.google.com/maps/search/?api=1&query=La%20Mar%20Doha%20by%20Gast%C3%B3n%20Acurio&query_place_id=ChIJdUTruDDDRT4RZtWPKvbBoXM,+974 4484 4098,"Bldg. No. 25, Zone، 61 Street 900, Doha, Qatar",ChIJdUTruDDDRT4RZtWPKvbBoXM
Twisted Olive & Naama’s Garden,https://www.google.com/maps/search/?api=1&query=Twisted%20Olive%20%26%20Naama%E2%80%99s%20Garden&query_place_id=ChIJ7RxJn6jFRT4ReLi7WhiKrsM,+974 4425 2727,"برج الدوحة, Doha Tower, 15 Street 910، Doha, Qatar",ChIJ7RxJn6jFRT4ReLi7WhiKrsM
REBERU Contemporary Cuisine,https://www.google.com/maps/search/?api=1&query=REBERU%20Contemporary%20Cuisine&query_place_id=ChIJWTggn8vFRT4RyMxCrioknsk,+974 4427 5365,"Building 3, Rawdat Al Khail St, Doha, Qatar",ChIJWTggn8vFRT4RyMxCrioknsk
Teatro Doha,https://www.google.com/maps/search/?api=1&query=Teatro%20Doha&query_place_id=ChIJoRy4f7_ERT4R1A-Oaa7vLFI,+974 4445 8888,"Level 2, 850 Conference Centre, Doha, Qatar",ChIJoRy4f7_ERT4R1A-Oaa7vLFI
Sushi Library Doha City Center,https://www.google.com/maps/search/?api=1&query=Sushi%20Library%20Doha%20City%20Center&query_place_id=ChIJweeRd-rFRT4R7rpbkHz2FLA,+974 3301 5695,"City Center, 1st floor, Doha, Qatar",ChIJweeRd-rFRT4R7rpbkHz2FLA
The Kitchen Doha,https://www.google.com/maps/search/?api=1&query=The%20Kitchen%20Doha&query_place_id=ChIJn3i9SKPDRT4R1UJ3Ro1s1D8,+974 4492 4610,"Abraj Quartier Pearl Boulevard Tower AQ-07, Doha, Qatar",ChIJn3i9SKPDRT4R1UJ3Ro1s1D8
Mykonos Doha,https://www.google.com/maps/search/?api=1&query=Mykonos%20Doha&query_place_id=ChIJzxTTV9PDRT4RoL4yTTZX3zQ,+974 4484 4919,"Beach & Spa, Street 900, Bldg. No. 25, Zone 61 Al Dafna InterContinental Doha, Doha, Qatar",ChIJzxTTV9PDRT4RoL4yTTZX3zQ
La Mesa Restaurant,https://www.google.com/maps/search/?api=1&query=La%20Mesa%20Restaurant&query_place_id=ChIJ8RL1QrnFRT4RfqGIjEkRyPk,+974 3999 4481,"Doha, Qatar",ChIJ8RL1QrnFRT4RfqGIjEkRyPk
Saffron Doha,https://www.google.com/maps/search/?api=1&query=Saffron%20Doha&query_place_id=ChIJiWIJ5rbFRT4RCI5uYipf_ks,+974 4410 3310,"Al Khaleej St, Doha, Qatar",ChIJiWIJ5rbFRT4RCI5uYipf_ks
