name,url,phone,email,address,placeId
Pleasure terrace roof top restaurant,https://www.google.com/maps/search/?api=1&query=Pleasure%20terrace%20roof%20top%20restaurant&query_place_id=ChIJ6SH9Er65yhQRbSczYXeEqd4,+90 539 377 07 43,,"Hoca Paşa, Hüdavendigar Cd. No:4 Kat:5, 34112 Fatih/İstanbul, Türkiye",ChIJ6SH9Er65yhQRbSczYXeEqd4
Garden Mezze,https://www.google.com/maps/search/?api=1&query=Garden%20Mezze&query_place_id=ChIJw7xMSoa5yhQR_zLJ4ja7B_M,+90 532 349 02 38,,"hoca paşa mah nöbethane caddesi, Serdar Sk. No:13, 34110 Fatih/İstanbul, Türkiye",ChIJw7xMSoa5yhQR_zLJ4ja7B_M
Ararat Terrace Restaurant & Rooftop,https://www.google.com/maps/search/?api=1&query=Ararat%20Terrace%20Restaurant%20%26%20Rooftop&query_place_id=ChIJhX0rzM-5yhQRY0dHbpzBl4I,+90 534 299 94 14,,"Sultan Ahmet, Torun Sk. no : 3 D:101, 34400 Fatih/İstanbul, Türkiye",ChIJhX0rzM-5yhQRY0dHbpzBl4I
Hanzade Terrace Restaurant,https://www.google.com/maps/search/?api=1&query=Hanzade%20Terrace%20Restaurant&query_place_id=ChIJeyzSOYS5yhQRZGbHU6N19lI,+90 544 546 28 28,,"Emin Sinan, Piyer Loti Cd. No:35, 34126 Fatih/İstanbul, Türkiye",ChIJeyzSOYS5yhQRZGbHU6N19lI
Mivan Restaurant & Cafe,https://www.google.com/maps/search/?api=1&query=Mivan%20Restaurant%20%26%20Cafe&query_place_id=ChIJ4Vx5oJC5yhQR0viQ_FbPh-w,+90 212 517 99 29,,"Emin Sinan, Piyer Loti Cd. No:34, 34130 Fatih/İstanbul, Türkiye",ChIJ4Vx5oJC5yhQR0viQ_FbPh-w
Seher Restaurant,https://www.google.com/maps/search/?api=1&query=Seher%20Restaurant&query_place_id=ChIJm1rG87-5yhQRhwaW2T2FVO8,+90 538 580 40 70,,"Hoca Paşa, İbni Kemal Cd. No:18, 34110 Fatih/İstanbul, Türkiye",ChIJm1rG87-5yhQRhwaW2T2FVO8
Hidden Garden Restaurant Sultanahmet,https://www.google.com/maps/search/?api=1&query=Hidden%20Garden%20Restaurant%20Sultanahmet&query_place_id=ChIJG2RjnWy5yhQRZj8hMugPem0,+90 532 067 48 13,,"Binbirdirek, Peykhane Cd. No: 14/A, 34122 Fatih/İstanbul, Türkiye",ChIJG2RjnWy5yhQRZj8hMugPem0
Deraliye Terrace,https://www.google.com/maps/search/?api=1&query=Deraliye%20Terrace&query_place_id=ChIJpeXo6HG5yhQRbDRNOdPwA2A,+90 212 514 39 16,,"Alemdar Mahallesi Ticarethane Sokakk. No:10 Teras Kat, 34122 Fatih/İstanbul, Türkiye",ChIJpeXo6HG5yhQRbDRNOdPwA2A
Massa Bistro,https://www.google.com/maps/search/?api=1&query=Massa%20Bistro&query_place_id=ChIJB7H3EZa5yhQR7SiTMYt4HgI,+90 544 580 22 01,,"Hacıtahsibey sk alemdar mh no 11 a, Sultanahmet near tramway station İstanbul, 34110 Fatih/İstanbul, Türkiye",ChIJB7H3EZa5yhQR7SiTMYt4HgI
Turgut Kebab Restaurant -Sultanahmet-,https://www.google.com/maps/search/?api=1&query=Turgut%20Kebab%20Restaurant%20-Sultanahmet-&query_place_id=ChIJnXNX4Ly5yhQR-QKvTThJM_w,+90 554 012 12 02,,"Sultan Ahmet, Akbıyık Cd. No:64, 34122 Fatih/İstanbul, Türkiye",ChIJnXNX4Ly5yhQR-QKvTThJM_w
