name,url,phone,email,address,placeId
O’Connell St Clinic,https://ocnlst.com.au/,+61 2 9241 1577,"admin@ocnlst.com.au, ocsc-logo-wide-1.2@2x.png","Mezzanine Level/12 O'Connell St, Sydney NSW 2000, Australia",ChIJ_0YB4EGuEmsRHHB2Ro6C7W0
MediCentral,https://healthpac.com.au/,+61 2 8378 6666,,"Level 11/501 George St, Sydney NSW 2000, Australia",ChIJKSNjRjyuEmsRI-2RfZO9pOI
The Sydney Clinic,https://thesydneyclinic.com.au/,+61 2 9389 8888,,"22-24 Murray St, Bronte NSW 2024, Australia",ChIJz2wSbYqtEmsRxHAsMF7PErM
Walkers Street Doctors North Sydney,http://www.walkerstreetdoctors.com.au/,+61 2 9955 5566,,"4/60 Walker St, North Sydney NSW 2060, Australia",ChIJbSQDvfKuEmsRIhj3CPWC4vI
Myhealth Sydney CBD,https://www.myhealth.net.au/clinics/sydney-cbd,+61 2 8197 3388,feedback@myhealth.net.au,"8/151 Castlereagh St, Sydney NSW 2000, Australia",ChIJw5-HMD6uEmsR7UqvTST4aGE
Myhealth Darling Square,https://www.myhealth.net.au/clinics/darling-square/,+61 2 9188 3893,feedback@myhealth.net.au,"64 Darling Drive Shop 1 Darling One Building, Darling Dr, Sydney NSW 2000, Australia",ChIJH9UHwievEmsR_nQQymfqieA
Sydney CBD Medical Centre & Skin Cancer Clinic,https://www.sydneycbdmedicalcentre.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+61 2 9268 0133,reception@sydneycbdmedicalcentre.com.au,"280/282 Pitt St, Sydney NSW 2000, Australia",ChIJs5bWmT2uEmsRjMWlgQFbgic
East Sydney Doctors,https://www.eastsydneydoctors.com.au/,+61 2 9332 2531,"reception@tspc.com.au, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com, reception@eastsydneydoctors.com.au, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com","102 Burton St, Darlinghurst NSW 2010, Australia",ChIJk0Ed_hCuEmsR9Q34r8dDS6c
Sydney Doctors,http://sydneydoctors.com.au/,+61 2 9233 3399,,"Level 1/70 Pitt St, Sydney NSW 2000, Australia",ChIJK4PYNECuEmsRr_H_CXPrnzM
Sydney Premier Medical & Health Centre,https://www.spmh.com.au/,+61 2 8964 8677,bookings@spmh.com.au,"309 Pitt St, Sydney NSW 2000, Australia",ChIJYyfZ2T2uEmsRn6CX2O1-XC0
